shipment_id,order_id,carrier,product_id,product_name,quantity,price_per_unit,total_amount,shipment_date
123,130,Байкал Сервис,1017,Тормозная жидкость DOT-4,1,245.79,245.79,2025-11-10
124,131,Деловые линии,1011,Генератор,11,291.37,3205.1,2025-02-01
125,132,ПЭК,1019,Лампы H4,10,284.65,2846.53,2025-09-27
126,134,Почта России,1003,Масляный фильтр,10,176.88,1768.82,2025-07-08
127,135,Почта России,1008,Ремень ГРМ,19,192.46,3656.82,2025-07-02
128,136,СДЭК,1009,Помпа водяная,14,241.58,3382.14,2025-08-26
129,137,Деловые линии,1001,Тормозные колодки передние,18,267.94,4822.85,2025-05-12
130,138,СДЭК,1012,Стартер,7,248.67,1740.69,2025-03-20
131,139,Байкал Сервис,1006,Амортизатор передний,19,311.16,5911.95,2025-06-21
132,140,ПЭК,1003,Масляный фильтр,11,342.45,3766.97,2025-12-30
133,141,Байкал Сервис,1009,Помпа водяная,18,278.71,5016.75,2025-08-15
134,142,Байкал Сервис,1012,Стартер,12,260.83,3129.95,2025-05-14
135,143,Байкал Сервис,1007,Амортизатор задний,18,293.51,5283.1,2025-09-27
136,144,ПЭК,1015,Моторное масло 5W-40,11,336.59,3702.45,2025-12-28
137,145,Почта России,1001,Тормозные колодки передние,18,199.67,3594.14,2025-12-29
138,146,Деловые линии,1005,Свечи зажигания,2,324.15,648.29,2025-11-23
139,147,Байкал Сервис,1011,Генератор,5,264.65,1323.26,2025-12-08
140,148,ПЭК,1011,Генератор,13,286.76,3727.84,2025-11-28
141,149,СДЭК,1018,Щётки стеклоочистителя,9,246.61,2219.47,2025-05-21
142,150,Байкал Сервис,1020,Лампы H7,13,250.64,3258.29,2025-11-03
143,151,ПЭК,1020,Лампы H7,1,278.14,278.14,2025-07-04
144,152,Деловые линии,1005,Свечи зажигания,1,298.06,298.06,2025-09-17
145,153,ПЭК,1013,Аккумулятор 60Ah,17,235.33,4000.6,2025-08-31
146,154,Почта России,1017,Тормозная жидкость DOT-4,9,186.32,1676.9,2025-08-02
147,155,Почта России,1004,Воздушный фильтр,8,191.48,1531.83,2025-09-29
148,156,ПЭК,1019,Лампы H4,6,311.64,1869.83,2025-01-12
149,157,Деловые линии,1020,Лампы H7,18,267.08,4807.35,2025-03-21
150,158,Почта России,1005,Свечи зажигания,10,146.19,1461.89,2025-07-15
151,159,Почта России,1018,Щётки стеклоочистителя,13,162.94,2118.21,2025-12-16
152,160,Почта России,1018,Щётки стеклоочистителя,4,186.25,744.99,2025-06-24
153,162,Деловые линии,1016,Антифриз G12,9,292.53,2632.8,2025-03-14
154,164,СДЭК,1002,Тормозные колодки задние,6,241.49,1448.94,2025-04-23
155,165,Деловые линии,1017,Тормозная жидкость DOT-4,7,284.53,1991.71,2025-09-20
156,166,Почта России,1009,Помпа водяная,3,199.85,599.56,2025-03-25
157,167,ПЭК,1018,Щётки стеклоочистителя,14,305.93,4283.04,2025-02-18
158,168,Почта России,1004,Воздушный фильтр,9,181.11,1629.96,2025-11-13
159,170,Почта России,1008,Ремень ГРМ,18,168.01,3024.16,2025-07-21
160,171,ПЭК,1012,Стартер,18,242.29,4361.16,2025-03-23
161,172,Деловые линии,1017,Тормозная жидкость DOT-4,9,357.54,3217.84,2025-10-10
162,173,Деловые линии,1020,Лампы H7,7,344.82,2413.73,2025-11-30
163,174,Байкал Сервис,1009,Помпа водяная,10,296.3,2963.03,2025-02-04
164,175,Почта России,1017,Тормозная жидкость DOT-4,20,204.16,4083.12,2025-02-27
165,176,Байкал Сервис,1005,Свечи зажигания,7,289.28,2024.99,2025-12-12
166,177,ПЭК,1008,Ремень ГРМ,19,301.53,5729.07,2025-01-14
167,179,Байкал Сервис,1001,Тормозные колодки передние,16,219.57,3513.07,2025-10-21
168,180,Деловые линии,1002,Тормозные колодки задние,7,276.84,1937.89,2025-12-16
169,181,СДЭК,1013,Аккумулятор 60Ah,7,217.84,1524.86,2025-12-09
170,182,ПЭК,1004,Воздушный фильтр,15,281.29,4219.37,2025-09-29
171,183,СДЭК,1014,Аккумулятор 75Ah,16,292.73,4683.74,2025-05-03
172,184,Почта России,1018,Щётки стеклоочистителя,18,205.61,3701.04,2025-01-29
173,185,Почта России,1009,Помпа водяная,5,147.08,735.4,2025-03-17
174,186,Деловые линии,1006,Амортизатор передний,16,267.12,4273.87,2025-05-30
175,187,Байкал Сервис,1005,Свечи зажигания,12,273.41,3280.95,2025-01-27
176,188,Деловые линии,1015,Моторное масло 5W-40,2,342.01,684.02,2025-05-14
177,189,СДЭК,1012,Стартер,5,296.57,1482.86,2025-09-28
178,190,Байкал Сервис,1017,Тормозная жидкость DOT-4,4,311.71,1246.84,2025-07-10
179,191,СДЭК,1002,Тормозные колодки задние,12,204.7,2456.42,2025-11-13
180,192,ПЭК,1011,Генератор,3,290.25,870.75,2025-01-08
181,193,Почта России,1019,Лампы H4,8,215.5,1723.98,2025-03-05
182,195,Деловые линии,1008,Ремень ГРМ,15,262.82,3942.29,2025-09-18
183,196,Почта России,1012,Стартер,15,172.04,2580.58,2025-06-10
184,197,Байкал Сервис,1009,Помпа водяная,9,220.27,1982.39,2025-04-12
185,198,ПЭК,1009,Помпа водяная,10,291.48,2914.75,2025-03-25
186,199,СДЭК,1001,Тормозные колодки передние,16,218.05,3488.82,2025-11-28
187,200,СДЭК,1005,Свечи зажигания,14,210.83,2951.57,2025-10-01
188,201,СДЭК,1008,Ремень ГРМ,17,229.09,3894.56,2025-11-14
189,203,ПЭК,1016,Антифриз G12,1,305.02,305.02,2025-03-15
190,204,Почта России,1018,Щётки стеклоочистителя,3,185.06,555.19,2025-05-25
191,206,ПЭК,1009,Помпа водяная,19,261.02,4959.3,2025-10-31
192,207,ПЭК,1018,Щётки стеклоочистителя,19,342.23,6502.33,2025-01-22
193,208,ПЭК,1010,Радиатор охлаждения,19,269.39,5118.48,2025-07-11
194,209,Байкал Сервис,1002,Тормозные колодки задние,1,218.54,218.54,2025-05-05
195,210,Деловые линии,1003,Масляный фильтр,11,291.43,3205.75,2025-05-26
196,211,Почта России,1018,Щётки стеклоочистителя,3,184.43,553.29,2025-09-12
197,212,Байкал Сервис,1019,Лампы H4,1,216.33,216.33,2025-01-15
198,213,Деловые линии,1015,Моторное масло 5W-40,2,332.94,665.88,2025-04-01
199,214,СДЭК,1017,Тормозная жидкость DOT-4,2,222.37,444.74,2025-05-05
200,215,СДЭК,1016,Антифриз G12,17,260.85,4434.49,2025-02-14
201,216,Байкал Сервис,1004,Воздушный фильтр,10,275.83,2758.31,2025-08-26
202,217,ПЭК,1007,Амортизатор задний,12,338.21,4058.52,2025-12-24
203,218,Байкал Сервис,1020,Лампы H7,10,302.27,3022.69,2025-06-23
204,219,Деловые линии,1014,Аккумулятор 75Ah,18,266.21,4791.77,2025-01-01
205,220,Байкал Сервис,1002,Тормозные колодки задние,18,248.26,4468.63,2025-01-14
206,221,Деловые линии,1016,Антифриз G12,11,342.71,3769.8,2025-10-20
207,222,Почта России,1005,Свечи зажигания,7,214.51,1501.6,2025-07-18
208,223,Деловые линии,1020,Лампы H7,12,354.59,4255.08,2025-04-15
209,224,Байкал Сервис,1020,Лампы H7,5,251.95,1259.77,2025-05-28
210,226,ПЭК,1019,Лампы H4,7,276.73,1937.1,2025-01-03
211,227,Почта России,1018,Щётки стеклоочистителя,18,170.47,3068.41,2025-03-14
212,228,СДЭК,1017,Тормозная жидкость DOT-4,1,212.7,212.7,2025-05-11
213,229,СДЭК,1003,Масляный фильтр,10,214.64,2146.4,2025-06-23
214,230,Байкал Сервис,1001,Тормозные колодки передние,9,312.81,2815.29,2025-10-18
215,231,СДЭК,1004,Воздушный фильтр,4,236.2,944.79,2025-10-26
216,232,Байкал Сервис,1016,Антифриз G12,5,267.64,1338.21,2025-05-13
217,234,ПЭК,1012,Стартер,13,322.9,4197.7,2025-09-29
218,235,СДЭК,1007,Амортизатор задний,6,238.73,1432.36,2025-04-20
219,236,ПЭК,1014,Аккумулятор 75Ah,12,322.31,3867.72,2025-05-10
220,237,Деловые линии,1009,Помпа водяная,9,321.09,2889.78,2025-08-15
221,238,Деловые линии,1010,Радиатор охлаждения,9,266.69,2400.25,2025-11-02
222,239,ПЭК,1002,Тормозные колодки задние,10,302.14,3021.41,2025-12-30
223,240,Почта России,1015,Моторное масло 5W-40,14,166.18,2326.54,2025-02-20
224,241,Байкал Сервис,1002,Тормозные колодки задние,16,288.78,4620.51,2025-09-24
225,242,ПЭК,1005,Свечи зажигания,14,347.22,4861.05,2025-06-28
226,243,СДЭК,1018,Щётки стеклоочистителя,16,242.88,3886.09,2025-12-19
227,244,Почта России,1009,Помпа водяная,6,187.06,1122.37,2025-09-05
228,245,Почта России,1014,Аккумулятор 75Ah,8,178.88,1431.07,2025-05-27
229,246,Байкал Сервис,1004,Воздушный фильтр,7,244.08,1708.55,2025-02-15
230,247,Деловые линии,1007,Амортизатор задний,1,333.25,333.25,2025-11-12
231,248,СДЭК,1001,Тормозные колодки передние,8,220.43,1763.47,2025-12-24
232,249,СДЭК,1016,Антифриз G12,5,295.12,1475.61,2025-07-06
233,250,СДЭК,1006,Амортизатор передний,12,285.62,3427.46,2025-09-12
234,251,Почта России,1005,Свечи зажигания,4,184.92,739.68,2025-05-13
235,252,ПЭК,1003,Масляный фильтр,2,308.86,617.72,2025-08-07
236,253,Деловые линии,1015,Моторное масло 5W-40,14,312.13,4369.77,2025-07-22
237,255,ПЭК,1013,Аккумулятор 60Ah,1,313.44,313.44,2025-05-30
238,256,Деловые линии,1005,Свечи зажигания,5,339.28,1696.39,2025-06-26
239,257,Деловые линии,1017,Тормозная жидкость DOT-4,12,336.06,4032.71,2025-10-12
240,258,Байкал Сервис,1013,Аккумулятор 60Ah,10,311.8,3118.02,2025-10-22
241,259,Почта России,1010,Радиатор охлаждения,16,146.05,2336.78,2025-10-13
242,261,СДЭК,1004,Воздушный фильтр,8,269.3,2154.4,2025-02-05
243,262,Почта России,1001,Тормозные колодки передние,8,171.99,1375.89,2025-02-13
244,263,Деловые линии,1009,Помпа водяная,20,280.32,5606.33,2025-07-24
245,264,ПЭК,1014,Аккумулятор 75Ah,15,323.05,4845.7,2025-08-18
246,265,СДЭК,1015,Моторное масло 5W-40,7,222.24,1555.7,2025-04-20
247,266,ПЭК,1004,Воздушный фильтр,4,324.06,1296.24,2025-01-24
248,267,Байкал Сервис,1015,Моторное масло 5W-40,5,293.98,1469.89,2025-05-08
249,268,ПЭК,1012,Стартер,19,260.13,4942.56,2025-12-18
250,269,ПЭК,1013,Аккумулятор 60Ah,18,239.49,4310.89,2025-12-01
251,270,Почта России,1002,Тормозные колодки задние,6,180.41,1082.45,2025-11-04
252,271,ПЭК,1005,Свечи зажигания,2,309.77,619.54,2025-12-13
253,272,Байкал Сервис,1020,Лампы H7,17,296.36,5038.18,2025-09-26
254,273,Деловые линии,1015,Моторное масло 5W-40,12,378.33,4539.9,2025-03-18
255,274,Почта России,1012,Стартер,13,209.09,2718.13,2025-06-27
256,276,Деловые линии,1004,Воздушный фильтр,19,319.43,6069.17,2025-06-18
257,277,СДЭК,1009,Помпа водяная,4,242.16,968.64,2025-07-02
258,278,Деловые линии,1017,Тормозная жидкость DOT-4,17,291.15,4949.61,2025-03-17
259,279,Почта России,1018,Щётки стеклоочистителя,2,152.13,304.26,2025-02-06
260,281,СДЭК,1017,Тормозная жидкость DOT-4,18,218.24,3928.29,2025-09-15
261,282,Почта России,1011,Генератор,19,163.28,3102.34,2025-07-04
262,284,Деловые линии,1010,Радиатор охлаждения,10,310.33,3103.31,2025-03-06
263,286,Байкал Сервис,1010,Радиатор охлаждения,18,315.95,5687.12,2025-09-18
264,288,Байкал Сервис,1010,Радиатор охлаждения,15,255.42,3831.27,2025-06-02
265,289,ПЭК,1008,Ремень ГРМ,2,277.64,555.28,2025-07-27
266,291,ПЭК,1005,Свечи зажигания,8,315.43,2523.46,2025-10-22
267,292,Деловые линии,1018,Щётки стеклоочистителя,6,260.69,1564.14,2025-07-10
268,294,Деловые линии,1018,Щётки стеклоочистителя,2,381.89,763.77,2025-11-16
269,295,СДЭК,1018,Щётки стеклоочистителя,7,279.4,1955.81,2025-06-21
270,296,Почта России,1018,Щётки стеклоочистителя,20,204.14,4082.76,2025-10-29
271,297,Байкал Сервис,1014,Аккумулятор 75Ah,14,228.66,3201.18,2025-10-01
272,298,ПЭК,1009,Помпа водяная,17,322.66,5485.22,2025-12-06
273,299,Деловые линии,1011,Генератор,19,302.57,5748.83,2025-05-08
274,300,Деловые линии,1016,Антифриз G12,4,271.64,1086.56,2025-03-21
275,301,СДЭК,1016,Антифриз G12,1,295.46,295.46,2025-10-20
276,302,ПЭК,1008,Ремень ГРМ,11,259.6,2855.58,2025-12-03
277,303,Деловые линии,1007,Амортизатор задний,20,371.65,7432.95,2025-07-09
278,304,Байкал Сервис,1002,Тормозные колодки задние,3,234.7,704.1,2025-09-01
279,305,ПЭК,1004,Воздушный фильтр,19,335.9,6382.14,2025-08-30
280,306,СДЭК,1001,Тормозные колодки передние,8,201.24,1609.92,2025-04-14
281,307,СДЭК,1004,Воздушный фильтр,17,296.79,5045.5,2025-09-28
282,308,Деловые линии,1011,Генератор,8,376.36,3010.87,2025-12-13
283,309,СДЭК,1011,Генератор,8,215.53,1724.28,2025-05-22
284,310,Деловые линии,1020,Лампы H7,9,284.3,2558.68,2025-07-06
285,311,ПЭК,1005,Свечи зажигания,3,282.36,847.07,2025-12-18
286,312,СДЭК,1010,Радиатор охлаждения,11,263.81,2901.93,2025-12-11
287,313,Байкал Сервис,1003,Масляный фильтр,16,269.86,4317.71,2025-04-27
288,315,Деловые линии,1016,Антифриз G12,12,358.99,4307.94,2025-09-12
289,316,ПЭК,1017,Тормозная жидкость DOT-4,7,340.48,2383.38,2025-11-06
290,317,Байкал Сервис,1005,Свечи зажигания,18,319.7,5754.59,2025-07-26
291,318,СДЭК,1018,Щётки стеклоочистителя,3,285.23,855.7,2025-12-02
292,319,Деловые линии,1001,Тормозные колодки передние,16,268.39,4294.28,2025-03-29
293,320,Почта России,1012,Стартер,8,205.45,1643.57,2025-04-27
294,321,СДЭК,1004,Воздушный фильтр,17,202.82,3447.94,2025-10-15
295,322,Байкал Сервис,1010,Радиатор охлаждения,5,312.79,1563.95,2025-12-08
296,323,Почта России,1006,Амортизатор передний,3,177.48,532.44,2025-10-24
297,324,Байкал Сервис,1011,Генератор,9,249.06,2241.56,2025-01-03
298,325,ПЭК,1012,Стартер,17,316.62,5382.5,2025-09-07
299,326,Байкал Сервис,1014,Аккумулятор 75Ah,19,323.56,6147.63,2025-10-21
300,327,ПЭК,1001,Тормозные колодки передние,18,335.66,6041.82,2025-11-09
301,328,Почта России,1007,Амортизатор задний,12,194.42,2333.07,2025-08-20
302,329,Деловые линии,1005,Свечи зажигания,20,266.67,5333.41,2025-11-21
303,330,Деловые линии,1016,Антифриз G12,15,356.93,5353.89,2025-05-04
304,331,ПЭК,1020,Лампы H7,14,299.36,4191.04,2025-02-24
305,332,Деловые линии,1006,Амортизатор передний,2,270.37,540.74,2025-10-25
306,333,СДЭК,1015,Моторное масло 5W-40,7,231.21,1618.48,2025-04-07
307,335,СДЭК,1004,Воздушный фильтр,13,288.84,3754.9,2025-01-14
308,336,Почта России,1001,Тормозные колодки передние,8,150.66,1205.31,2025-09-22
309,337,ПЭК,1007,Амортизатор задний,17,236.83,4026.03,2025-12-09
310,338,СДЭК,1001,Тормозные колодки передние,18,256.95,4625.11,2025-10-12
311,339,Деловые линии,1005,Свечи зажигания,18,274.58,4942.42,2025-10-12
312,340,ПЭК,1001,Тормозные колодки передние,1,268.53,268.53,2025-07-17
313,341,Байкал Сервис,1009,Помпа водяная,11,223.43,2457.77,2025-08-20
314,342,ПЭК,1008,Ремень ГРМ,19,243.83,4632.77,2025-03-16
315,343,ПЭК,1005,Свечи зажигания,6,243.74,1462.44,2025-08-13
316,344,СДЭК,1013,Аккумулятор 60Ah,14,236.72,3314.12,2025-09-24
317,345,Почта России,1019,Лампы H4,9,166.81,1501.32,2025-05-31
318,346,Почта России,1001,Тормозные колодки передние,11,195.81,2153.96,2025-02-04
319,347,СДЭК,1007,Амортизатор задний,15,235.66,3534.94,2025-07-08
320,348,Почта России,1015,Моторное масло 5W-40,20,160.57,3211.45,2025-12-23
321,349,Байкал Сервис,1011,Генератор,12,302.5,3630.03,2025-10-08
322,350,Почта России,1011,Генератор,4,213.99,855.96,2025-08-30
323,351,Почта России,1008,Ремень ГРМ,13,157.72,2050.39,2025-10-20
324,352,Почта России,1013,Аккумулятор 60Ah,13,154.35,2006.56,2025-01-01
325,353,СДЭК,1009,Помпа водяная,13,214.18,2784.35,2025-01-06
326,354,Байкал Сервис,1010,Радиатор охлаждения,8,292.27,2338.13,2025-04-16
327,355,Почта России,1005,Свечи зажигания,6,189.23,1135.39,2025-08-05
328,356,СДЭК,1001,Тормозные колодки передние,2,205.9,411.8,2025-05-30
329,357,Байкал Сервис,1010,Радиатор охлаждения,16,318.79,5100.6,2025-08-08
330,358,Почта России,1008,Ремень ГРМ,15,180.61,2709.18,2025-03-14
331,359,Деловые линии,1005,Свечи зажигания,7,358.16,2507.15,2025-12-03
332,360,Байкал Сервис,1004,Воздушный фильтр,18,282.4,5083.18,2025-02-04
333,361,Почта России,1013,Аккумулятор 60Ah,7,199.21,1394.49,2025-02-07
334,362,СДЭК,1009,Помпа водяная,15,227.75,3416.32,2025-04-09
335,364,СДЭК,1002,Тормозные колодки задние,5,228.55,1142.73,2025-11-14
336,365,Деловые линии,1010,Радиатор охлаждения,19,267.85,5089.09,2025-02-17
337,366,СДЭК,1004,Воздушный фильтр,1,260.2,260.2,2025-06-13
